anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
1 -	cf-1988-art-97-par-10-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-97-par-12-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-97-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-97-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-97-par-8-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-97-par-9-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-98-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-99-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-99-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-109-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-142-par-3-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-155-par-2-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-156-par-1-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-167-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-20-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-21-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-212-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-216-par-1-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-22-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-23-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-235-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-24-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-29-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-37-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-4-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-40-par-22-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-49-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-5-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-52-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-7-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-71-inc-10	X		inciso	cf	inc_arab_hif	97
10 -	cf-1988-art-84-inc-10	X		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-109-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-155-par-2-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-156-par-1-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-167-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-20-inc-11	XI		inciso	cf	inc_arab_hif	97
11 -	cf-1988-art-21-inc-11	XI		inciso	cf	inc_arab_hif	97
