numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
951	RE	158.215	M						[RE 158.215, rel. min. Marco Aurélio, j. 30-4-1996, 2ª T, DJ de 7-6-1996.]
952	MS	21.545	M						[MS 21.545, rel. min. Moreira Alves, j. 11-3-1993, P, DJ de 2-4-1993.]
953	ADI	5.465	N						[ADI 5.465, rel. min. Nunes Marques, j. 09.04.2025, P, DJE de 11.06.2025.]
954	ADI	5.737	D						[ADI 5.737, rel. min. Dias Toffoli, red. do ac. min. Roberto Barroso, j. 25-4-2023, P, DJE de 27-6-2023.]
955	ADPF	509	M						[ADPF 509, rel. min. Marco Aurélio, j. 16-9-2020, P, DJE de 5-10-2020.]
956	ADI	758	D						[ADI 758, rel. min. Dias Toffoli, j. 27-9-2019, P, DJE de 18-11-2019.]
957	ADI	2.144	T						[ADI 2.144, rel. min. Teori Zavascki, j. 2-6-2016, P, DJE de 14-6-2016.]
958	ADI	4.264							[ADI 4.264 MC, rel. min. Ricardo Lewandowski, j. 16-3-2011, P, DJE de 30-5-2011.]
959	ADI	2.120	C						[ADI 2.120, rel. min. Celso de Mello, j. 16-10-2008, P, DJE de 30-10-2014.]
960	ADI	3.168	J						[ADI 3.168, rel. min. Joaquim Barbosa, j. 8-6-2006, P, DJ de 3-8-2007.]
961	ADI	2.374	G						[ADI 2.374, rel. min. Gilmar Mendes, j. 6-10-2004, P, DJ de 16-2-2007.]
962	RE	1.387.795	D						[RE 1.387.795, rel. min. Dias Toffoli, j. 13.10.2025, P, DJE de 10.12.2025, Tema 1.232, com mérito julgado.]
963	ARE	1.467.384							[ARE 1.467.384 RG, rel. min. Luís Roberto Barroso, j. 11.11.2024, P, DJE de 14.11.2024, Tema 1.351, com repercussão geral negada.]
964	RE	629.647	M						[RE 629.647, rel. min. Marco Aurélio, redator do acórdão min. Alexandre de Moraes, j. 3-11-2022, P, DJE de 9-1-2023, Tema 1.004, com mérito julgado.]
965	RE	635.145							[RE 635.145, red. do ac. min. Luiz Fux, j. 1º-8-2016, P, DJE de 13-9-2017, Tema 613, com mérito julgado.]
966	RE	594.296	D						[RE 594.296, rel. min. Dias Toffoli, j. 21-9-2011, P, DJE de 13-2-2012, Tema 138, com mérito julgado.]
967	RE	602.543							[RE 602.543 QO-RG, rel. min. Cezar Peluso, j. 19-11-2009, P, DJE de 26-2-2010, tema 240, com mérito julgado.]
